date,x1,x2,x3,x4,x5,mega,mult
181030,20,31,39,46,49,23,2
181026,1,28,61,62,63,5,4
181023,5,28,62,65,70,5,3
181019,15,23,53,65,70,7,2
181016,3,45,49,61,69,9,5
181012,4,24,46,61,70,7,3
181009,20,22,39,54,60,18,3
181005,27,28,32,41,69,12,2
181002,2,22,29,31,34,1,3
180928,39,45,52,56,59,15,3
180925,8,16,32,48,61,12,2
180921,1,2,11,52,64,9,4
180918,31,32,43,63,68,17,2
180914,23,30,40,43,66,13,4
180911,15,30,51,62,67,19,2
180907,8,10,41,54,68,10,2
180904,2,7,25,35,44,3,3
180831,7,18,29,32,45,17,3
180828,3,20,33,34,41,20,3
180824,1,6,13,18,49,8,2
180821,14,16,19,38,57,11,3
180817,1,31,32,47,56,3,2
180814,11,26,44,45,46,11,2
180810,1,3,12,22,42,6,5
180807,2,13,15,21,62,2,5
180803,9,28,30,54,60,2,2
180731,12,15,35,64,69,9,2
180727,1,32,40,49,63,20,3
180724,1,2,4,19,29,20,3
180720,1,14,30,44,62,1,2
180717,40,41,61,66,67,12,5
180713,21,22,39,59,68,2,2
180710,1,17,28,56,70,14,3
180706,2,10,46,50,56,16,3
180703,13,35,45,49,68,23,2
180629,2,32,47,49,68,23,4
180626,17,25,29,39,60,19,2
180622,2,6,11,27,44,20,2
180619,11,13,28,65,70,14,3
180615,1,11,37,47,51,6,2
180612,1,3,5,8,70,3,2
180608,14,30,33,44,56,13,2
180605,22,33,41,48,52,4,2
180601,5,24,52,62,66,17,3
180529,2,11,55,58,67,2,3
180525,11,14,51,64,68,25,4
180522,16,17,21,36,48,9,3
180518,9,26,53,64,66,11,2
180515,21,34,44,49,61,21,2
180511,14,38,40,53,70,22,3
180508,8,15,39,64,67,13,2
180504,4,5,10,12,18,21,4
180501,2,7,20,55,70,1,4
180427,2,29,38,63,66,11,2
180424,3,19,31,32,48,10,3
180420,1,15,18,32,45,4,2
180417,12,34,44,47,65,22,4
180413,8,9,32,42,59,10,4
180410,5,13,31,43,53,20,2
180406,16,33,51,54,67,20,4
180403,4,29,39,42,62,14,2
180330,11,28,31,46,59,1,3
180327,7,25,43,56,59,13,3
180323,4,8,23,53,59,17,3
180320,14,38,51,64,70,9,3
180316,1,13,26,33,52,11,3
180313,6,30,58,60,61,17,5
180309,7,17,18,46,66,22,4
180306,1,4,26,35,39,22,5
180302,24,28,42,60,64,8,4
180227,10,17,21,38,43,23,3
180223,7,11,13,19,58,9,4
180220,17,19,23,24,43,14,3
180216,14,38,48,53,58,16,3
180213,5,12,15,46,49,1,4
180209,28,34,41,46,47,14,3
180206,14,17,25,48,58,25,3
180202,1,4,14,17,40,4,3
180130,29,41,42,49,57,24,3
180126,10,16,27,38,43,1,4
180123,2,6,30,31,55,7,4
180119,3,17,23,49,66,23,3
180116,3,11,23,29,59,18,3
180112,17,18,33,46,60,24,4
180109,16,29,31,65,67,23,3
