date,x1,x2,x3,x4,x5,mega,mult,index
200124,3,4,18,23,38,24,4,116
200121,16,18,29,31,37,8,3,117
200117,3,25,30,54,70,9,3,118
200114,9,11,13,31,47,11,2,119
200110,17,27,49,51,66,2,2,120
200107,25,40,41,52,56,21,4,121
200103,37,41,42,53,63,16,2,122
191231,30,44,49,53,56,11,3,123
191227,17,34,40,63,64,24,4,124
191224,27,37,48,63,66,11,2,125
191220,3,20,23,35,60,16,3,126
191217,22,30,53,55,56,16,2,127
191213,17,21,29,39,56,22,3,128
191210,18,31,46,54,61,25,2,129
191206,20,31,40,46,61,20,5,130
191203,23,43,60,63,69,19,2,131
191129,6,8,31,50,65,9,2,132
191126,8,27,29,38,43,13,2,133
191122,7,12,17,49,53,24,4,134
191119,22,43,44,47,66,22,3,135
191115,12,19,34,35,68,20,2,136
191112,19,30,44,56,65,24,2,137
191108,3,4,10,39,58,14,3,138
191105,2,9,24,49,54,19,3,139
191101,9,20,36,41,54,22,2,140
191029,4,9,17,27,39,22,2,141
191025,16,24,25,52,60,6,3,142
191022,5,11,14,23,25,10,4,143
191018,18,58,60,65,67,20,3,144
191015,4,12,14,35,70,2,2,145
191011,14,22,30,37,60,8,3,146
191008,5,8,10,17,48,23,3,147
191004,11,38,44,48,70,17,2,148
191001,10,17,39,42,59,3,2,149
190927,12,20,31,43,45,20,3,150
190924,6,14,24,42,46,9,4,151
190920,23,24,42,48,53,22,2,152
190917,12,15,30,50,65,1,4,153
190913,6,16,37,59,62,5,2,154
190910,34,47,48,50,55,24,2,155
190906,4,11,13,19,31,10,4,156
190903,13,20,27,61,62,5,2,157
190830,3,9,11,34,39,10,4,158
190827,8,12,23,39,43,6,2,159
190823,11,15,37,54,68,21,2,160
190820,8,14,25,51,63,4,3,161
190816,4,14,24,26,46,14,2,162
190813,7,27,31,34,51,5,3,163
190809,15,53,56,59,63,1,2,164
190806,11,17,31,43,55,16,2,165
190802,11,20,26,48,70,19,2,166
190730,10,24,28,33,38,6,3,167
190726,4,6,11,43,48,11,3,168
190723,1,4,23,40,45,11,2,169
190719,16,18,28,33,67,14,3,170
190716,8,16,31,48,52,23,3,171
190712,8,25,38,56,59,7,2,172
190709,12,26,40,48,64,1,2,173
190705,6,38,47,57,63,12,2,174
190702,3,25,37,40,55,13,2,175
190628,2,35,49,53,63,1,2,176
190625,24,33,45,47,61,17,3,177
190621,13,30,36,48,62,18,3,178
190618,12,14,22,24,48,21,2,179
190614,19,40,47,57,65,6,2,180
190611,20,34,39,43,57,13,3,181
190607,17,19,27,40,68,2,3,182
190604,25,37,46,48,68,25,2,183
190531,7,8,26,65,67,4,3,184
190528,9,21,34,42,50,21,2,185
190524,14,41,44,56,62,10,2,186
190521,10,50,55,56,58,15,5,187
190517,5,17,28,32,63,11,3,188
190514,11,59,66,67,68,18,4,189
190510,3,16,21,61,62,19,2,190
190507,3,6,34,54,63,19,3,191
190503,8,16,22,66,68,11,2,192
190430,24,37,41,61,70,20,3,193
190426,9,17,23,30,46,10,4,194
190423,7,24,30,48,67,9,4,195
190419,18,25,43,44,57,25,4,196
190416,11,29,34,48,54,10,2,197
190412,1,24,25,40,70,4,2,198
190409,11,22,34,44,58,9,2,199
190405,8,22,24,38,64,21,2,200
190402,33,47,58,59,64,25,3,201
190329,5,14,15,62,66,3,3,202
190326,4,14,22,43,58,9,3,203
190322,7,36,58,60,62,10,3,204
190319,10,42,53,67,68,15,3,205
190315,3,29,56,62,64,4,3,206
190312,10,12,16,49,57,18,4,207
190308,4,9,42,62,68,7,4,208
190305,15,20,32,37,52,6,3,209
190301,29,33,39,60,66,21,2,210
190226,10,12,14,24,60,20,3,211
190222,18,24,31,34,55,4,4,212
190219,17,24,34,56,65,3,2,213
190215,10,38,40,43,65,12,2,214
190212,15,32,39,50,65,7,3,215
190208,14,24,31,42,48,13,3,216
190205,3,34,36,59,66,7,2,217
190201,2,37,48,66,68,11,5,218
190129,10,33,53,54,62,22,2,219
190125,8,16,30,38,61,10,2,220
190122,4,15,37,59,64,16,5,221
190118,2,43,48,62,64,24,3,222
190115,29,52,58,60,62,7,2,223
190111,4,5,31,62,69,20,3,224
190108,13,26,29,38,64,5,5,225
190104,21,29,35,54,60,15,4,226
190101,34,44,57,62,70,14,4,227
181228,9,10,25,37,38,21,2,228
181225,2,8,42,43,50,6,3,229
181221,10,13,61,62,70,5,3,230
181218,13,22,32,60,69,9,3,231
181214,5,22,26,43,49,23,4,232
181211,4,38,39,54,59,12,2,233
181207,4,10,20,33,57,13,3,234
181204,28,31,41,42,50,4,3,235
181130,25,28,40,43,63,19,3,236
181127,12,24,37,42,57,18,4,237
181123,7,10,30,33,59,23,4,238
181120,10,16,31,42,66,10,3,239
181116,33,36,63,68,69,16,3,240
181113,34,46,57,65,69,11,3,241
181109,8,14,27,57,67,5,4,242
181106,28,34,37,56,69,12,2,243
181102,3,23,28,46,62,16,2,244
181030,20,31,39,46,49,23,2,245
181026,1,28,61,62,63,5,4,246
181023,5,28,62,65,70,5,3,247
181019,15,23,53,65,70,7,2,248
181016,3,45,49,61,69,9,5,249
181012,4,24,46,61,70,7,3,250
181009,20,22,39,54,60,18,3,251
181005,27,28,32,41,69,12,2,252
181002,2,22,29,31,34,1,3,253
180928,39,45,52,56,59,15,3,254
180925,8,16,32,48,61,12,2,255
180921,1,2,11,52,64,9,4,256
180918,31,32,43,63,68,17,2,257
180914,23,30,40,43,66,13,4,258
180911,15,30,51,62,67,19,2,259
180907,8,10,41,54,68,10,2,260
180904,2,7,25,35,44,3,3,261
180831,7,18,29,32,45,17,3,262
180828,3,20,33,34,41,20,3,263
180824,1,6,13,18,49,8,2,264
180821,14,16,19,38,57,11,3,265
180817,1,31,32,47,56,3,2,266
180814,11,26,44,45,46,11,2,267
180810,1,3,12,22,42,6,5,268
180807,2,13,15,21,62,2,5,269
180803,9,28,30,54,60,2,2,270
180731,12,15,35,64,69,9,2,271
180727,1,32,40,49,63,20,3,272
180724,1,2,4,19,29,20,3,273
180720,1,14,30,44,62,1,2,274
180717,40,41,61,66,67,12,5,275
180713,21,22,39,59,68,2,2,276
180710,1,17,28,56,70,14,3,277
180706,2,10,46,50,56,16,3,278
180703,13,35,45,49,68,23,2,279
180629,2,32,47,49,68,23,4,280
180626,17,25,29,39,60,19,2,281
180622,2,6,11,27,44,20,2,282
180619,11,13,28,65,70,14,3,283
180615,1,11,37,47,51,6,2,284
180612,1,3,5,8,70,3,2,285
180608,14,30,33,44,56,13,2,286
180605,22,33,41,48,52,4,2,287
180601,5,24,52,62,66,17,3,288
180529,2,11,55,58,67,2,3,289
180525,11,14,51,64,68,25,4,290
180522,16,17,21,36,48,9,3,291
180518,9,26,53,64,66,11,2,292
180515,21,34,44,49,61,21,2,293
180511,14,38,40,53,70,22,3,294
180508,8,15,39,64,67,13,2,295
180504,4,5,10,12,18,21,4,296
180501,2,7,20,55,70,1,4,297
180427,2,29,38,63,66,11,2,298
180424,3,19,31,32,48,10,3,299
180420,1,15,18,32,45,4,2,300
180417,12,34,44,47,65,22,4,301
180413,8,9,32,42,59,10,4,302
180410,5,13,31,43,53,20,2,303
180406,16,33,51,54,67,20,4,304
180403,4,29,39,42,62,14,2,305
180330,11,28,31,46,59,1,3,306
180327,7,25,43,56,59,13,3,307
180323,4,8,23,53,59,17,3,308
180320,14,38,51,64,70,9,3,309
180316,1,13,26,33,52,11,3,310
180313,6,30,58,60,61,17,5,311
180309,7,17,18,46,66,22,4,312
180306,1,4,26,35,39,22,5,313
180302,24,28,42,60,64,8,4,314
180227,10,17,21,38,43,23,3,315
180223,7,11,13,19,58,9,4,316
180220,17,19,23,24,43,14,3,317
180216,14,38,48,53,58,16,3,318
180213,5,12,15,46,49,1,4,319
180209,28,34,41,46,47,14,3,320
180206,14,17,25,48,58,25,3,321
180202,1,4,14,17,40,4,3,322
180130,29,41,42,49,57,24,3,323
180126,10,16,27,38,43,1,4,324
180123,2,6,30,31,55,7,4,325
180119,3,17,23,49,66,23,3,326
180116,3,11,23,29,59,18,3,327
180112,17,18,33,46,60,24,4,328
180109,16,29,31,65,67,23,3,329
180105,28,30,39,59,70,10,3,330
180102,1,42,47,64,70,22,4,331
171229,4,10,18,28,62,7,2,332
171226,10,12,20,38,41,25,4,333
171222,1,20,30,33,42,16,4,334
171219,28,37,39,42,58,2,3,335
171215,4,12,36,44,57,19,4,336
171212,8,23,24,25,27,9,2,337
171208,6,37,46,60,70,24,2,338
171205,14,15,37,42,67,22,4,339
171201,16,22,40,41,59,8,4,340
171128,10,17,47,51,61,5,2,341
171124,16,36,54,61,64,22,3,342
171121,3,7,22,27,50,3,3,343
171117,3,26,55,58,70,15,4,344
171114,1,14,21,22,28,19,3,345
171110,6,23,38,42,58,24,2,346
171107,1,54,60,68,69,11,4,347
171103,10,22,42,61,69,3,2,348
171031,6,28,31,52,53,12,4,349
171027,17,27,41,51,52,13,5,350
171024,20,24,34,56,64,6,4,351
171020,6,23,63,66,73,9,2,352
171017,31,45,49,56,70,11,5,353
171013,2,7,18,26,31,12,2,354
171010,7,16,24,61,62,2,5,355
171006,21,33,36,45,56,12,5,356
171003,12,18,19,25,67,7,5,357
170929,25,51,62,73,74,7,5,358
170926,1,10,57,66,75,4,4,359
170922,5,39,54,63,66,15,5,360
170919,9,28,31,50,61,10,2,361
170915,18,24,34,38,58,3,4,362
170912,26,37,41,54,65,3,4,363
170908,4,5,14,26,73,14,3,364
170905,11,17,59,70,72,1,3,365
170901,4,13,31,50,64,12,5,366
170829,2,13,17,35,73,3,3,367
170825,17,38,42,51,65,11,5,368
170822,24,35,46,50,51,7,4,369
170818,1,31,34,40,75,6,3,370
170815,7,16,20,66,73,7,2,371
170811,23,33,53,56,58,6,5,372
170808,11,17,50,52,74,14,2,373
170804,9,17,25,63,71,4,5,374
170801,20,22,52,57,73,7,5,375
170728,4,6,31,49,52,11,3,376
170725,2,5,26,58,60,6,3,377
170721,18,31,36,50,74,10,4,378
170718,8,12,23,51,73,6,4,379
170714,11,12,24,32,73,1,4,380
170711,7,18,24,55,74,10,2,381
170707,2,9,11,28,60,10,5,382
170704,16,39,47,53,71,15,4,383
170630,10,38,51,55,64,6,5,384
170627,4,21,45,52,57,14,4,385
170623,12,20,53,66,74,11,2,386
170620,2,15,41,49,63,3,3,387
170616,18,22,26,30,44,9,5,388
170613,27,51,62,68,75,8,3,389
170609,3,16,28,33,37,9,5,390
170606,3,5,16,49,75,5,3,391
170602,7,42,57,69,72,10,3,392
170530,5,20,32,37,67,5,5,393
170526,25,26,28,37,56,5,3,394
170523,6,13,17,33,60,14,2,395
170519,1,4,5,24,30,1,3,396
170516,4,35,39,56,72,11,5,397
170512,28,34,41,42,47,13,4,398
170509,6,29,45,69,73,11,5,399
170505,4,23,33,47,53,7,4,400
170502,5,14,42,43,58,1,4,401
170428,6,13,18,20,31,13,4,402
170425,3,13,33,40,50,2,4,403
170421,1,12,13,32,34,10,2,404
170418,8,29,30,43,64,6,3,405
170414,5,10,55,60,73,12,5,406
170411,19,34,35,38,49,8,5,407
170407,30,33,43,47,69,15,5,408
170404,13,24,34,35,55,9,5,409
170331,17,24,27,32,58,10,3,410
170328,30,33,35,37,46,10,5,411
170324,5,28,37,61,69,1,5,412
170321,4,45,53,73,75,7,3,413
170317,11,27,31,58,60,10,4,414
170314,16,23,28,33,59,13,3,415
170310,26,38,42,58,70,5,5,416
170307,3,30,45,53,68,11,3,417
170303,14,26,39,48,51,9,5,418
170228,20,33,45,58,69,4,2,419
170224,12,29,33,42,68,14,3,420
170221,9,21,30,32,75,9,5,421
170217,4,56,58,67,75,8,5,422
170214,7,11,33,60,68,15,5,423
170210,32,39,51,62,75,14,5,424
170207,23,28,37,56,71,12,5,425
170203,3,6,29,30,64,3,5,426
170131,3,14,27,62,72,4,3,427
170127,17,37,53,54,61,8,3,428
170124,8,42,54,63,67,11,4,429
170120,7,9,24,41,53,14,3,430
170117,20,31,54,56,59,3,5,431
170113,10,44,58,74,75,11,3,432
170110,11,20,40,41,59,15,5,433
170106,6,10,44,47,54,6,5,434
170103,14,16,23,49,53,12,2,435
161230,6,21,33,39,43,2,2,436
161227,2,28,30,38,39,11,4,437
161223,21,30,39,60,69,15,5,438
161220,1,12,14,48,65,2,5,439
161216,1,8,15,36,43,6,5,440
161213,2,15,26,34,41,14,5,441
161209,19,27,47,67,68,1,5,442
161206,13,34,48,53,63,12,4,443
161202,3,33,35,49,51,1,2,444
161129,22,33,49,51,59,8,4,445
161125,44,47,49,69,75,10,3,446
161122,1,43,45,66,69,7,5,447
161118,31,32,49,55,58,15,5,448
161115,9,17,23,57,71,6,3,449
161111,16,40,47,53,59,11,5,450
161108,46,48,53,61,74,12,4,451
161104,10,29,32,44,46,10,3,452
161101,19,24,31,39,45,13,2,453
161028,7,38,46,57,66,2,5,454
161025,8,9,24,49,67,13,3,455
161021,12,43,44,48,66,3,4,456
161018,7,24,28,65,74,1,2,457
161014,7,27,60,64,74,5,3,458
161011,36,39,42,45,48,3,2,459
161007,24,37,42,50,65,14,2,460
161004,18,29,30,54,66,1,5,461
160930,21,30,47,50,57,9,5,462
160927,14,16,26,53,72,4,4,463
160923,1,5,8,25,62,14,3,464
160920,2,22,34,62,72,2,5,465
160916,13,21,28,34,40,15,3,466
160913,6,15,17,39,56,15,3,467
160909,1,34,43,44,63,11,4,468
160906,25,37,58,69,75,8,3,469
160902,22,28,41,46,60,3,3,470
160830,28,32,41,51,71,11,4,471
160826,10,11,31,41,44,14,2,472
160823,2,7,46,61,66,1,2,473
160819,22,37,45,65,73,13,5,474
160816,2,43,52,62,63,6,5,475
160812,4,41,44,56,69,10,4,476
160809,12,19,20,44,66,1,5,477
160805,5,18,28,54,74,6,4,478
160802,3,12,36,54,70,12,5,479
160729,11,16,19,31,48,4,5,480
160726,1,4,31,36,54,9,3,481
160722,8,24,25,26,30,7,4,482
160719,3,34,54,65,66,4,5,483
160715,16,51,52,56,58,4,2,484
160712,6,8,22,46,68,4,4,485
160708,8,19,20,55,73,5,2,486
160705,29,46,53,64,73,10,5,487
160701,20,41,42,45,49,14,2,488
160628,15,17,20,35,55,7,2,489
160624,11,14,54,57,63,11,5,490
160621,6,13,21,49,50,10,5,491
160617,20,23,30,44,59,9,5,492
160614,36,37,38,52,62,6,5,493
160610,34,61,66,67,68,7,5,494
160607,25,48,51,65,72,4,4,495
160603,32,54,65,66,71,10,3,496
160531,9,31,34,41,49,8,5,497
160527,18,41,50,68,70,9,3,498
160524,11,50,51,70,75,15,4,499
160520,19,24,26,40,68,8,2,500
160517,17,24,27,48,75,6,3,501
160513,20,21,38,54,66,7,4,502
160510,12,22,46,56,74,4,3,503
160506,14,26,27,32,36,7,4,504
160503,28,29,33,36,45,15,5,505
160429,5,6,37,55,74,10,5,506
160426,14,16,17,28,48,2,2,507
160422,2,19,21,42,60,13,5,508
160419,9,28,40,57,65,2,5,509
160415,9,10,34,37,73,9,5,510
160412,7,11,59,62,63,3,5,511
160408,31,38,52,65,71,15,3,512
160405,13,45,52,53,57,10,5,513
160401,25,28,33,41,69,6,2,514
160329,33,38,40,46,49,15,5,515
160325,4,11,12,35,46,12,2,516
160322,6,19,34,38,70,5,5,517
160318,5,8,57,59,73,13,5,518
160315,18,26,30,44,68,7,4,519
160311,14,18,48,54,71,13,4,520
160308,27,37,54,66,69,5,5,521
160304,21,26,33,48,73,14,4,522
160301,1,29,33,34,55,6,5,523
160226,3,15,19,62,74,14,4,524
160223,16,32,39,53,57,10,5,525
160219,2,27,41,50,75,4,4,526
160216,9,31,33,46,64,4,3,527
160212,1,7,44,68,73,1,3,528
160209,3,42,46,56,71,13,4,529
160205,4,6,23,55,75,2,3,530
160202,7,13,25,51,70,9,4,531
160129,20,28,49,51,52,6,2,532
160126,14,27,39,50,69,2,2,533
160122,21,25,40,46,56,3,5,534
160119,2,17,31,39,47,9,2,535
160115,29,41,53,54,70,12,2,536
160112,15,27,29,31,48,15,4,537
160108,11,39,51,57,75,2,5,538
160105,1,4,36,48,57,13,5,539
160101,7,18,37,38,39,9,5,540
151229,20,25,55,62,74,7,3,541
151225,15,25,29,44,51,4,4,542
151222,11,21,40,50,70,15,3,543
151218,6,23,24,28,62,7,5,544
151215,18,25,47,51,61,5,5,545
151211,14,20,43,54,69,5,4,546
151208,7,17,37,49,73,15,3,547
151204,26,42,47,61,73,6,5,548
151201,5,7,25,50,59,12,2,549
151127,16,20,39,56,59,12,3,550
151124,2,19,30,38,70,8,4,551
151120,9,12,29,37,67,15,2,552
151117,12,14,18,24,61,10,3,553
151113,17,18,31,35,59,9,5,554
151110,8,17,20,45,71,4,4,555
151106,10,31,35,50,72,8,3,556
151103,16,29,44,69,74,12,5,557
151030,17,41,51,53,56,15,5,558
151027,9,26,27,29,74,4,3,559
151023,25,32,37,45,70,1,5,560
151020,6,25,35,38,52,4,4,561
151016,2,38,48,61,68,4,3,562
151013,7,9,24,38,52,1,5,563
151009,8,9,21,63,75,14,4,564
151006,17,58,63,64,66,13,3,565
151002,4,14,29,31,47,9,2,566
150929,8,21,30,61,62,9,3,567
150925,3,8,38,51,64,4,5,568
150922,28,30,38,45,51,8,5,569
150918,17,34,35,51,65,7,3,570
150915,7,20,35,49,56,9,4,571
150911,5,11,31,50,67,14,2,572
150908,19,20,36,41,46,7,3,573
150904,17,21,39,52,57,5,5,574
150901,2,5,35,40,54,13,5,575
150828,13,35,40,60,68,9,4,576
150825,5,44,54,59,63,1,5,577
150821,13,15,21,41,72,1,5,578
150818,2,7,33,39,53,9,3,579
150814,12,15,20,52,71,3,4,580
150811,3,8,29,57,68,8,4,581
150807,1,38,53,63,66,10,3,582
150804,2,19,44,51,57,14,2,583
150731,28,32,33,40,46,10,4,584
150728,8,35,61,68,75,15,5,585
150724,10,12,26,60,62,13,5,586
150721,20,30,62,65,74,1,5,587
150717,6,17,30,31,41,15,3,588
150714,19,24,30,35,72,5,3,589
150710,24,27,45,51,54,8,3,590
150707,6,15,16,28,49,14,3,591
150703,33,50,64,71,72,9,4,592
150630,11,17,34,43,50,15,4,593
150626,12,23,33,47,50,3,5,594
150623,6,13,38,56,70,2,5,595
150619,4,35,36,52,68,8,3,596
150616,8,19,26,56,67,14,2,597
150612,1,40,42,56,62,2,5,598
150609,6,16,17,25,36,7,5,599
150605,7,22,27,41,49,10,4,600
150602,2,9,11,22,23,12,4,601
150529,20,27,38,49,66,2,4,602
150526,1,39,52,69,72,12,4,603
150522,3,14,15,25,48,8,5,604
150519,10,12,21,29,65,10,5,605
150515,11,17,21,36,74,15,5,606
150512,14,30,33,36,44,2,5,607
150508,9,21,25,66,72,7,3,608
150505,11,21,42,62,71,7,5,609
150501,17,18,61,66,74,3,3,610
150428,22,27,55,58,63,11,5,611
150424,24,25,29,47,67,4,4,612
150421,31,33,35,41,69,11,5,613
150417,15,18,29,41,50,5,2,614
150414,3,7,25,68,71,3,5,615
150410,6,11,32,46,68,9,2,616
150407,5,15,22,26,64,6,4,617
150403,10,36,47,63,74,2,5,618
150331,8,26,41,61,73,11,5,619
150327,17,21,36,58,70,3,5,620
150324,2,23,32,45,55,12,2,621
150320,7,50,54,61,75,7,4,622
150317,11,27,44,45,58,3,5,623
150313,8,22,30,42,45,3,5,624
150310,10,14,19,30,73,14,5,625
150306,30,48,55,68,73,5,3,626
150303,9,11,42,44,50,3,4,627
150227,7,49,53,60,64,4,2,628
150224,15,23,26,45,66,4,3,629
150220,2,6,8,52,66,13,3,630
150217,6,45,50,65,66,1,5,631
150213,4,20,44,65,74,14,3,632
150210,7,42,53,58,71,15,2,633
150206,5,6,17,33,68,13,3,634
150203,11,22,25,58,69,13,5,635
150130,18,31,39,45,55,6,5,636
150127,5,26,27,44,57,7,3,637
150123,14,15,32,68,72,8,2,638
150120,31,35,56,59,63,6,5,639
150116,26,32,44,45,58,11,3,640
150113,12,20,25,50,51,7,5,641
150109,37,49,50,56,57,8,5,642
150106,12,20,27,38,75,4,3,643
150102,13,15,35,62,74,12,4,644
141230,3,7,44,63,67,12,4,645
141226,2,5,10,20,38,14,3,646
141223,4,10,31,56,66,7,3,647
141219,14,18,58,59,68,4,3,648
141216,41,58,68,72,73,1,5,649
141212,2,31,46,58,65,7,5,650
141209,27,45,49,51,52,14,5,651
141205,4,5,11,51,59,5,5,652
141202,13,18,22,49,62,11,5,653
141128,8,26,29,36,47,10,3,654
141125,10,11,29,47,56,4,2,655
141121,3,12,35,37,63,15,2,656
141118,37,39,53,68,75,6,2,657
141114,3,49,61,62,68,15,5,658
141111,23,25,28,30,75,11,5,659
141107,31,35,41,65,66,5,5,660
141104,9,15,24,39,41,1,4,661
141031,11,29,36,58,67,15,2,662
141028,3,50,57,58,60,11,5,663
141024,2,14,21,28,55,3,3,664
141021,5,35,37,41,66,11,5,665
141017,21,31,43,56,60,12,4,666
141014,11,37,46,64,68,15,3,667
141010,2,32,35,50,59,3,5,668
141007,16,29,46,48,55,2,3,669
141003,3,20,34,58,67,6,3,670
140930,3,16,52,54,61,6,5,671
140926,17,26,35,46,62,9,5,672
140923,21,24,25,40,43,12,5,673
140919,16,25,27,29,34,2,2,674
140916,25,45,51,53,73,2,2,675
140912,18,28,33,36,42,7,3,676
140909,25,34,55,70,71,1,4,677
140905,7,12,20,24,59,7,2,678
140902,1,8,54,69,72,1,3,679
140829,3,26,45,58,73,12,2,680
140826,29,31,51,60,64,1,5,681
140822,5,31,34,41,74,3,5,682
140819,22,39,56,67,71,15,4,683
140815,16,19,28,29,68,9,2,684
140812,32,53,60,63,68,6,4,685
140808,9,16,61,70,75,7,5,686
140805,25,28,36,45,53,6,5,687
140801,13,29,34,37,72,6,5,688
140729,2,8,16,43,74,1,4,689
140725,22,29,33,41,68,12,5,690
140722,14,18,22,31,47,15,3,691
140718,5,8,59,65,72,3,3,692
140715,2,4,17,36,40,5,2,693
140711,9,13,30,35,69,10,5,694
140708,14,25,27,48,49,9,5,695
140704,16,33,39,58,69,2,5,696
140701,9,22,38,47,49,15,3,697
140627,15,29,31,46,64,10,3,698
140624,13,17,24,47,65,10,4,699
140620,1,22,25,29,56,3,5,700
140617,10,14,24,47,60,3,4,701
140613,7,38,46,49,56,1,5,702
140610,2,10,24,26,74,7,5,703
140606,12,29,37,49,72,9,4,704
140603,19,28,62,66,74,6,3,705
140530,10,13,42,43,62,2,4,706
140527,1,6,10,46,58,13,2,707
140523,12,14,21,38,70,15,4,708
140520,10,40,63,64,69,7,2,709
140516,13,14,16,50,56,11,5,710
140513,37,46,48,70,74,1,2,711
140509,10,28,39,51,59,14,2,712
140506,18,20,27,48,51,5,3,713
140502,1,18,26,35,40,13,5,714
140429,7,43,59,61,66,3,3,715
140425,3,11,18,20,66,9,2,716
140422,2,18,19,49,50,1,3,717
140418,18,25,38,45,63,9,2,718
140415,4,39,46,47,70,13,3,719
140411,3,42,44,47,57,8,5,720
140408,35,36,41,60,71,3,3,721
140404,1,10,15,41,54,9,2,722
140401,10,23,68,74,75,9,5,723
140328,2,3,9,50,73,12,3,724
140325,19,26,51,57,73,15,3,725
140321,2,23,30,35,53,10,5,726
140318,11,19,24,33,51,7,3,727
140314,7,20,40,54,69,12,3,728
140311,9,14,56,57,69,10,4,729
140307,11,13,51,57,69,1,4,730
140304,10,29,31,35,45,10,2,731
140228,3,31,50,58,59,6,4,732
140225,12,18,25,35,66,15,5,733
140221,23,29,32,45,46,15,5,734
