date,x1,x2,x3,x4,x5,mega,mult,index
180821,14,16,19,38,57,11,3,85
180817,1,31,32,47,56,3,2,84
180814,11,26,44,45,46,11,2,83
180810,1,3,12,22,42,6,5,82
180807,2,13,15,21,62,2,5,81
180803,9,28,30,54,60,2,2,80
180731,12,15,35,64,69,9,2,79
180727,1,32,40,49,63,20,3,78
180724,1,2,4,19,29,20,3,77
180720,1,14,30,44,62,1,2,76
180717,40,41,61,66,67,12,5,75
180713,21,22,39,59,68,2,2,74
180710,1,17,28,56,70,14,3,73
180706,2,10,46,50,56,16,3,72
180703,13,35,45,49,68,23,2,71
180629,2,32,47,49,68,23,4,70
180626,17,25,29,39,60,19,2,69
180622,2,6,11,27,44,20,2,68
180619,11,13,28,65,70,14,3,67
180615,1,11,37,47,51,6,2,66
180612,1,3,5,8,70,3,2,65
180608,14,30,33,44,56,13,2,64
180605,22,33,41,48,52,4,2,63
180601,5,24,52,62,66,17,3,62
180529,2,11,55,58,67,2,3,61
180525,11,14,51,64,68,25,4,60
180522,16,17,21,36,48,9,3,59
180518,9,26,53,64,66,11,2,58
180515,21,34,44,49,61,21,2,57
180511,14,38,40,53,70,22,3,56
180508,8,15,39,64,67,13,2,55
180504,4,5,10,12,18,21,4,54
180501,2,7,20,55,70,1,4,53
180427,2,29,38,63,66,11,2,52
180424,3,19,31,32,48,10,3,51
180420,1,15,18,32,45,4,2,50
180417,12,34,44,47,65,22,4,49
180413,8,9,32,42,59,10,4,48
180410,5,13,31,43,53,20,2,47
180406,16,33,51,54,67,20,4,46
180403,4,29,39,42,62,14,2,45
180330,11,28,31,46,59,1,3,44
180327,7,25,43,56,59,13,3,43
180323,4,8,23,53,59,17,3,42
180320,14,38,51,64,70,9,3,41
180316,1,13,26,33,52,11,3,40
180313,6,30,58,60,61,17,5,39
180309,7,17,18,46,66,22,4,38
180306,1,4,26,35,39,22,5,37
180302,24,28,42,60,64,8,4,36
180227,10,17,21,38,43,23,3,35
180223,7,11,13,19,58,9,4,34
180220,17,19,23,24,43,14,3,33
180216,14,38,48,53,58,16,3,32
180213,5,12,15,46,49,1,4,31
180209,28,34,41,46,47,14,3,30
180206,14,17,25,48,58,25,3,29
180202,1,4,14,17,40,4,3,28
180130,29,41,42,49,57,24,3,27
180126,10,16,27,38,43,1,4,26
180123,2,6,30,31,55,7,4,25
180119,3,17,23,49,66,23,3,24
180116,3,11,23,29,59,18,3,23
180112,17,18,33,46,60,24,4,22
180109,16,29,31,65,67,23,3,21
180105,28,30,39,59,70,10,3,20
180102,1,42,47,64,70,22,4,19
171229,4,10,18,28,62,7,2,18
171226,10,12,20,38,41,25,4,17
171222,1,20,30,33,42,16,4,16
171219,28,37,39,42,58,2,3,15
171215,4,12,36,44,57,19,4,14
171212,8,23,24,25,27,9,2,13
171208,6,37,46,60,70,24,2,12
171205,14,15,37,42,67,22,4,11
171201,16,22,40,41,59,8,4,10
171128,10,17,47,51,61,5,2,9
171124,16,36,54,61,64,22,3,8
171121,3,7,22,27,50,3,3,7
171117,3,26,55,58,70,15,4,6
171114,1,14,21,22,28,19,3,5
171110,6,23,38,42,58,24,2,4
171107,1,54,60,68,69,11,4,3
171103,10,22,42,61,69,3,2,2
171031,6,28,31,52,53,12,4,1
